metric,value,unit,source,study_period,comparison_group,geography,last_verified,source_url,source_name,source_type
Serious injury crashes,94,percent fewer,Waymo,Through June 2026,Human-driver benchmarks matched to the same operating areas and driving exposure,Waymo rider-only operating cities included in the source analysis,2026-07-20,https://waymo.com/safety/impact/,Waymo Safety Impact,Operator-reported safety analysis
Injury-causing crashes,82,percent fewer,Waymo,Through June 2026,Human-driver benchmarks matched to the same operating areas and driving exposure,Waymo rider-only operating cities included in the source analysis,2026-07-20,https://waymo.com/safety/impact/,Waymo Safety Impact,Operator-reported safety analysis
Pedestrian injury crashes,93,percent fewer,Waymo,56.7 million rider-only miles through January 2025,Human-driver benchmarks matched to the same operating areas and driving exposure,"Phoenix, San Francisco, Los Angeles, and Austin",2026-07-20,https://waymo.com/blog/2025/05/waymo-making-streets-safer-for-vru,Waymo Safety Impact,Operator-reported safety analysis
Cyclist and motorcyclist injury crashes,84,percent fewer,Waymo,56.7 million rider-only miles through January 2025,Human-driver benchmarks matched to the same operating areas and driving exposure,"Phoenix, San Francisco, Los Angeles, and Austin",2026-07-20,https://waymo.com/blog/2025/05/waymo-making-streets-safer-for-vru,Waymo Safety Impact,Operator-reported safety analysis
